Subject,Country,Year,Unit,Power,Value
Private social expenditure,Finland,2015,Percentage,Units,1.548000
Net social expenditure,Finland,2011,Percentage,Units,22.666000
Net social expenditure,Finland,2013,Percentage,Units,24.402000
Net social expenditure,Finland,2015,Percentage,Units,25.290000
Public pension expenditure,Finland,2011,Percentage,Units,10.283137
Private pension expenditure,Finland,2011,Percentage,Units,0.648147
Private pension expenditure,Finland,2012,Percentage,Units,0.696221
Private pension expenditure,Finland,2013,Percentage,Units,0.639125
Net official development assistance; as a percentage of gross national income,Finland,2011,Percentage,Units,0.530000
Net official development assistance; as a percentage of gross national income,Finland,2012,Percentage,Units,0.530000
Net official development assistance; as a percentage of gross national income,Finland,2013,Percentage,Units,0.540000
Net official development assistance; as a percentage of gross national income,Finland,2014,Percentage,Units,0.600000
Total tax revenue,Finland,2011,Percentage,Units,42.033000
Total tax revenue,Finland,2012,Percentage,Units,42.679000
Total tax revenue,Finland,2013,Percentage,Units,43.616000
Total tax revenue,Finland,2014,Percentage,Units,43.814000
Total tax revenue,Finland,2015,Percentage,Units,43.928000
Taxes on the average worker,Finland,2011,Percentage,Units,42.346324
Taxes on the average worker,Finland,2012,Percentage,Units,42.489780
Taxes on the average worker,Finland,2013,Percentage,Units,43.109455
Taxes on the average worker,Finland,2014,Percentage,Units,43.595602
Taxes on the average worker,Finland,2015,Percentage,Units,43.512412
Total expenditure on health,Finland,2011,Percentage,Units,8.949000
Total expenditure on health,Finland,2012,Percentage,Units,9.291000
Total expenditure on health,Finland,2013,Percentage,Units,9.492000
Total expenditure on health,Finland,2014,Percentage,Units,9.480000
Total expenditure on health,Finland,2015,Percentage,Units,9.743000
GDP per hour worked,France,2011,US Dollar,Units,58.492883
GDP per hour worked,France,2012,US Dollar,Units,59.159131
GDP per hour worked,France,2013,US Dollar,Units,62.858230
GDP per hour worked,France,2014,US Dollar,Units,64.151481
GDP per hour worked,France,2015,US Dollar,Units,65.334256
CO? emissions from fuel combustion,France,2011,Tonnes,Millions,314.000000
CO? emissions from fuel combustion,France,2012,Tonnes,Millions,317.100000
CO? emissions from fuel combustion,France,2013,Tonnes,Millions,317.500000
CO? emissions from fuel combustion,France,2014,Tonnes,Millions,285.500000
CO? emissions from fuel combustion,France,2015,Tonnes,Millions,292.200000
Change in teachers'salary after 15 years of experience,France,2013,Index,Units,93.812974
Mean scores on the reading scale in PISA 2012: men,France,2012,Average score,Units,482.971520
 Adult population smoking daily,France,2012,Percentage,Units,24.100000
 Adult population smoking daily,France,2014,Percentage,Units,22.400000
 Practising physicians,France,2011,Per 1 000 inhabitants,Units,3.310000
 Practising physicians,France,2012,Per 1 000 inhabitants,Units,3.320000
 Practising physicians,France,2013,Per 1 000 inhabitants,Units,3.330000
 Practising physicians,France,2014,Per 1 000 inhabitants,Units,3.340000
 Practising physicians,France,2015,Per 1 000 inhabitants,Units,3.340000
Sulphur Oxides Emmissions,France,2011,Tonnes,Thousands,249.131000
Sulphur Oxides Emmissions,France,2012,Tonnes,Thousands,240.162000
Sulphur Oxides Emmissions,France,2013,Tonnes,Thousands,211.509000
Sulphur Oxides Emmissions,France,2014,Tonnes,Thousands,173.722000
Sulphur Oxides Emmissions,France,2015,Tonnes,Thousands,162.370000
Annual expenditure per student in short cycle tertiary education,France,2012,US Dollar,Units,12346.496000
Elderly population,France,2014,Percentage,Units,18.200000
Foreign value added as a share of gross exports,France,2011,Percentage,Units,25.130000
Population aged 25-34 below upper secondary,France,2014,Percentage,Units,14.749435
Population aged 25-34 below upper secondary,France,2014,Percentage,Units,41.194843
Regional elderly population: Maximum,France,2014,Average growth rate,Units,2.100000
Regional elderly population: Country average,France,2014,Average growth rate,Units,0.900000
Regional elderly population: Minimum,France,2014,Average growth rate,Units,0.000000
Total amount generated of municipal waste,France,2011,Tonnes,Thousands,34790.000000
Total amount generated of municipal waste,France,2012,Tonnes,Thousands,34484.000000
Total amount generated of municipal waste,France,2013,Tonnes,Thousands,34176.000000
Total amount generated of municipal waste,France,2014,Tonnes,Thousands,34230.000000
Total amount generated of municipal waste,France,2015,Tonnes,Thousands,34284.000000
Net official development assistance; as a percentage of gross national income,France,2011,US Dollar,Millions,12997.240000
Net official development assistance; as a percentage of gross national income,France,2012,US Dollar,Millions,12028.270000
Net official development assistance; as a percentage of gross national income,France,2013,US Dollar,Millions,11338.930000
Net official development assistance; as a percentage of gross national income,France,2014,US Dollar,Millions,10620.320000
Annual expenditure per student in Bachelorâ€™s; masterâ€™s; doctoral or equivalent level,France,2012,US Dollar,Units,16279.226000
Nitrogene Oxides Emmissions,France,2011,Tonnes,Thousands,1012.097000
Nitrogene Oxides Emmissions,France,2012,Tonnes,Thousands,984.536000
Nitrogene Oxides Emmissions,France,2013,Tonnes,Thousands,966.912000
Nitrogene Oxides Emmissions,France,2014,Tonnes,Thousands,897.228000
Nitrogene Oxides Emmissions,France,2015,Tonnes,Thousands,872.072000
 General practitioners as a percentage of total physicians,France,2014,Percentage,Units,46.720000
 Specialists as a percentage of total physicians,France,2014,Percentage,Units,53.280000
Standard error on the reading scale in PISA 2012: men,France,2012,Standard-error,Units,3.808897
Teachers'starting salary,France,2013,US Dollar,Units,27253.988000
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,France,2011,Percentage points,Units,-24.803806
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,France,2012,Percentage points,Units,-26.857276
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,France,2013,Percentage points,Units,-25.440889
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,France,2014,Percentage points,Units,-26.924706
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,France,2015,Percentage points,Units,-27.935686
Levels of GDP per capita and labour productivity - Effect of labour utilisation,France,2011,Percentage points,Units,-18.498020
Levels of GDP per capita and labour productivity - Effect of labour utilisation,France,2012,Percentage points,Units,-19.835976
Levels of GDP per capita and labour productivity - Effect of labour utilisation,France,2013,Percentage points,Units,-21.409920
Levels of GDP per capita and labour productivity - Effect of labour utilisation,France,2014,Percentage points,Units,-22.685835
Levels of GDP per capita and labour productivity - Effect of labour utilisation,France,2015,Percentage points,Units,-23.784445
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,France,2011,Percentage points,Units,-7.736972
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,France,2012,Percentage points,Units,-8.758667
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,France,2013,Percentage points,Units,-5.129106
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,France,2014,Percentage points,Units,-5.482657
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,France,2015,Percentage points,Units,-5.446711
Mean scores on the reading scale in PISA 2012: women,France,2012,Average score,Units,526.765410
Teachersâ€™salary after 10 years of experience,France,2013,US Dollar,Units,31229.161000
 Medical graduates,France,2011,Per 100 000 inhabitants,Units,6.730000
 Medical graduates,France,2012,Per 100 000 inhabitants,Units,7.210000
 Medical graduates,France,2013,Per 100 000 inhabitants,Units,7.660000
 Medical graduates,France,2014,Per 100 000 inhabitants,Units,8.120000
 Medical graduates,France,2015,Per 100 000 inhabitants,Units,9.050000
 Nursing graduates,France,2011,Per 100 000 inhabitants,Units,35.490000
 Nursing graduates,France,2012,Per 100 000 inhabitants,Units,40.410000
 Nursing graduates,France,2013,Per 100 000 inhabitants,Units,38.950000
 Nursing graduates,France,2014,Per 100 000 inhabitants,Units,38.650000
 Nursing graduates,France,2015,Per 100 000 inhabitants,Units,38.870000
Annual expenditure per student in all tertiary education,France,2012,US Dollar,Units,15281.257000
Elderly dependency rate in urban regions,France,2014,Percentage,Units,23.800000
Elderly dependency rate,France,2014,Percentage,Units,28.600000
Elderly dependency rate in rural regions,France,2014,Percentage,Units,37.200000
Population aged 25-34 in upper secondary or post-secondary non-tertiary,France,2014,Percentage,Units,44.055725
Population aged 25-64 below upper secondary,France,2014,Percentage,Units,25.153784
Annual expenditure per student in all tertiary education excluding R&D activities,France,2012,US Dollar,Units,10360.956000
Teachersâ€™salary after 15 years of experience,France,2013,US Dollar,Units,33500.045000
Standard error on the reading scale in PISA 2012: women,France,2012,Standard-error,Units,3.007206
Mean scores on the science scale in PISA 2012: men,France,2012,Average score,Units,497.716340
Teachersâ€™salary at top of scale,France,2013,US Dollar,Units,49398.486000
Change in expenditure in tertiary education,France,2012,Index,Units,118.692320
Population aged 25-64 below upper secondary,France,2014,Percentage,Units,42.740952
Population aged 25-64 in upper secondary or post-secondary non-tertiary,France,2014,Percentage,Units,32.105263
Change in the number of students in tertiary education,France,2012,Index,Units,104.134260
Standard error on the science scale in PISA 2012: men,France,2012,Standard-error,Units,3.824260
Mean scores on the science scale in PISA 2012: women,France,2012,Average score,Units,500.157120
Permanent inflows by category of entry: total,France,2011,Persons,Thousands,226555.180000
Permanent inflows by category of entry: total,France,2012,Persons,Thousands,244548.260000
Permanent inflows by category of entry: total,France,2013,Persons,Thousands,254447.540000
Permanent inflows by category of entry: total,France,2014,Persons,Thousands,250741.770000
Permanent inflows by category of entry: total,France,2015,Persons,Thousands,255318.690000
Public expenditure per student in primary; secondary and post-secondary non-tertiary education as a percentage of total expenditures,France,2012,Percentage,Units,91.042389
Standard error on the science scale in PISA 2012: women,France,2012,Standard-error,Units,2.419349
Mean scores on the mathematics scale in PISA 2012: men,France,2012,Average score,Units,499.354750
Standard error on the mathematics scale in PISA 2012: men,France,2012,Standard-error,Units,3.409718
Population levels,France,2011,Inhabitants,Thousands,63223.160000
Population levels,France,2012,Inhabitants,Thousands,63514.000000
Population levels,France,2013,Inhabitants,Thousands,63786.140000
Population levels,France,2014,Inhabitants,Thousands,64062.250000
Standard error on the mathematics scale in PISA 2012: women,France,2012,Average score,Units,2.549044
Foreign-born population,France,2011,Percentage,Units,11.822000
Foreign-born population,France,2012,Percentage,Units,11.895000
Foreign-born population,France,2013,Percentage,Units,12.040000
Foreign population,France,2011,Percentage,Units,6.157000
Foreign population,France,2012,Percentage,Units,6.354000
Foreign-born nationals,France,2011,Percentage,Units,53.187820
Permanent inflows by category of entry: accompanying family of workers,France,2011,Persons,Thousands,0.000000
Permanent inflows by category of entry: accompanying family of workers,France,2012,Persons,Thousands,0.000000
Permanent inflows by category of entry: accompanying family of workers,France,2013,Persons,Thousands,0.000000
Permanent inflows by category of entry: accompanying family of workers,France,2014,Persons,Thousands,0.000000
Permanent inflows by category of entry: accompanying family of workers,France,2015,Persons,Thousands,0.000000
Permanent inflows by category of entry: humanitarian,France,2011,Persons,Thousands,11606.000000
Permanent inflows by category of entry: humanitarian,France,2012,Persons,Thousands,12232.000000
Permanent inflows by category of entry: humanitarian,France,2013,Persons,Thousands,12107.000000
Permanent inflows by category of entry: humanitarian,France,2014,Persons,Thousands,14104.000000
Permanent inflows by category of entry: humanitarian,France,2015,Persons,Thousands,16551.000000
Permanent inflows by category of entry: family,France,2011,Persons,Thousands,90280.000000
Permanent inflows by category of entry: family,France,2012,Persons,Thousands,97199.000000
Permanent inflows by category of entry: family,France,2013,Persons,Thousands,104937.000000
Permanent inflows by category of entry: family,France,2014,Persons,Thousands,103991.000000
Permanent inflows by category of entry: family,France,2015,Persons,Thousands,103453.000000
Permanent inflows by category of entry: free movements,France,2011,Persons,Thousands,85930.000000
Permanent inflows by category of entry: free movements,France,2012,Persons,Thousands,95437.000000
Permanent inflows by category of entry: free movements,France,2013,Persons,Thousands,95863.000000
Permanent inflows by category of entry: free movements,France,2014,Persons,Thousands,87607.000000
Permanent inflows by category of entry: free movements,France,2015,Persons,Thousands,88328.000000
Permanent inflows by category of entry: work,France,2011,Persons,Thousands,19718.178000
Permanent inflows by category of entry: work,France,2012,Persons,Thousands,19091.256000
Permanent inflows by category of entry: work,France,2013,Persons,Thousands,20579.536000
Permanent inflows by category of entry: work,France,2014,Persons,Thousands,22629.768000
Permanent inflows by category of entry: work,France,2015,Persons,Thousands,25286.688000
Permanent inflows by category of entry: Other,France,2011,Persons,Thousands,19021.000000
Permanent inflows by category of entry: Other,France,2012,Persons,Thousands,20589.000000
Permanent inflows by category of entry: Other,France,2013,Persons,Thousands,20961.000000
Permanent inflows by category of entry: Other,France,2014,Persons,Thousands,22410.000000
Permanent inflows by category of entry: Other,France,2015,Persons,Thousands,21700.000000
Employment rates of native-born population by educational attainment: low,France,2011,Percentage,Units,56.500000
Employment rates of native-born population by educational attainment: low,France,2012,Percentage,Units,56.000000
Employment rates of native-born population by educational attainment: low,France,2013,Percentage,Units,54.900000
Employment rates of native-born population by educational attainment: low,France,2014,Percentage,Units,54.400000
Employment rates of native-born population by educational attainment: low,France,2015,Percentage,Units,53.600000
Employment rates of native-born population by educational attainment: High,France,2011,Percentage,Units,85.200000
Employment rates of native-born population by educational attainment: High,France,2012,Percentage,Units,86.000000
Employment rates of native-born population by educational attainment: High,France,2013,Percentage,Units,85.700000
Employment rates of native-born population by educational attainment: High,France,2014,Percentage,Units,85.500000
Employment rates of native-born population by educational attainment: High,France,2015,Percentage,Units,85.600000
Employment rates of native-born population by educational attainment: Total,France,2011,Percentage,Units,73.200000
Employment rates of native-born population by educational attainment: Total,France,2012,Percentage,Units,73.500000
Employment rates of native-born population by educational attainment: Total,France,2013,Percentage,Units,73.900000
Employment rates of native-born population by educational attainment: Total,France,2014,Percentage,Units,73.700000
Employment rates of native-born population by educational attainment: Total,France,2015,Percentage,Units,74.000000
Employment rates of foreign-born population by educational attainment: low,France,2011,Percentage,Units,51.600000
Employment rates of foreign-born population by educational attainment: low,France,2012,Percentage,Units,51.300000
Employment rates of foreign-born population by educational attainment: low,France,2013,Percentage,Units,50.400000
Employment rates of foreign-born population by educational attainment: low,France,2014,Percentage,Units,49.800000
Employment rates of foreign-born population by educational attainment: low,France,2015,Percentage,Units,48.000000
Employment rates of foreign-born population by educational attainment: High,France,2011,Percentage,Units,72.700000
Employment rates of foreign-born population by educational attainment: High,France,2012,Percentage,Units,72.500000
Employment rates of foreign-born population by educational attainment: High,France,2013,Percentage,Units,72.300000
Employment rates of foreign-born population by educational attainment: High,France,2014,Percentage,Units,71.500000
Employment rates of foreign-born population by educational attainment: High,France,2015,Percentage,Units,71.700000
Employment rates of foreign-born population by educational attainment: Total,France,2011,Percentage,Units,60.500000
Employment rates of foreign-born population by educational attainment: Total,France,2012,Percentage,Units,60.700000
Employment rates of foreign-born population by educational attainment: Total,France,2013,Percentage,Units,61.000000
Employment rates of foreign-born population by educational attainment: Total,France,2014,Percentage,Units,59.900000
Employment rates of foreign-born population by educational attainment: Total,France,2015,Percentage,Units,59.100000
Unemployment rates of native-born populations: Men,France,2012,Percentage,Units,8.989000
Unemployment rates of native-born populations: Men,France,2014,Percentage,Units,9.300000
Unemployment rates of foreign-born populations: Men,France,2012,Percentage,Units,15.455000
Unemployment rates of foreign-born populations: Men,France,2014,Percentage,Units,16.400000
Unemployment rates of native-born populations: Women,France,2012,Percentage,Units,9.239000
Unemployment rates of native-born populations: Women,France,2014,Percentage,Units,8.800000
Unemployment rates of foreign-born populations: Women,France,2012,Percentage,Units,16.152000
Unemployment rates of foreign-born populations: Women,France,2014,Percentage,Units,15.700000
Unemployment rates of native-born populations: Total,France,2012,Percentage,Units,9.186000
Unemployment rates of native-born populations: Total,France,2014,Percentage,Units,9.100000
Unemployment rates of foreign-born populations: Total,France,2012,Percentage,Units,15.975000
Unemployment rates of foreign-born populations: Total,France,2014,Percentage,Units,16.000000
Real GDP growth,France,2011,Growth rate,Units,2.192701
Real GDP growth,France,2012,Growth rate,Units,0.313135
Real GDP growth,France,2013,Growth rate,Units,0.576327
Real GDP growth,France,2014,Growth rate,Units,0.956183
Real GDP growth,France,2015,Growth rate,Units,1.112912
Gross fixed capital formation,France,2011,Growth rate,Units,2.066052
Gross fixed capital formation,France,2012,Growth rate,Units,0.231322
Gross fixed capital formation,France,2013,Growth rate,Units,-0.805539
Gross fixed capital formation,France,2014,Growth rate,Units,0.032841
Gross fixed capital formation,France,2015,Growth rate,Units,1.024148
Value added in agriculture; hunting and forestry; fishing,France,2011,Percentage,Units,1.837570
Value added in agriculture; hunting and forestry; fishing,France,2012,Percentage,Units,1.817552
Value added in agriculture; hunting and forestry; fishing,France,2013,Percentage,Units,1.625505
Value added in agriculture; hunting and forestry; fishing,France,2014,Percentage,Units,1.736067
Value added in agriculture; hunting and forestry; fishing,France,2015,Percentage,Units,1.794135
Value added in industry; including energy,France,2011,Percentage,Units,13.979518
Value added in industry; including energy,France,2012,Percentage,Units,14.057083
Value added in industry; including energy,France,2013,Percentage,Units,14.136446
Value added in industry; including energy,France,2014,Percentage,Units,14.081350
Value added in industry; including energy,France,2015,Percentage,Units,14.271759
Value added in construction,France,2011,Percentage,Units,6.038896
Value added in construction,France,2012,Percentage,Units,5.845547
Value added in construction,France,2013,Percentage,Units,5.891388
Value added in construction,France,2014,Percentage,Units,5.713693
Value added in construction,France,2015,Percentage,Units,5.483398
Value added in distributive trade; repairs; transport; accommodation and food services activities,France,2011,Percentage,Units,17.703506
Value added in distributive trade; repairs; transport; accommodation and food services activities,France,2012,Percentage,Units,17.707704
Value added in distributive trade; repairs; transport; accommodation and food services activities,France,2013,Percentage,Units,17.546310
Value added in distributive trade; repairs; transport; accommodation and food services activities,France,2014,Percentage,Units,17.479284
Value added in distributive trade; repairs; transport; accommodation and food services activities,France,2015,Percentage,Units,17.716850
Value added in Information and communication,France,2011,Percentage,Units,5.054466
Value added in Information and communication,France,2012,Percentage,Units,4.988842
Value added in Information and communication,France,2013,Percentage,Units,4.900463
Value added in Information and communication,France,2014,Percentage,Units,4.896977
Value added in Information and communication,France,2015,Percentage,Units,4.982958
Value added in financial and insurance activities,France,2011,Percentage,Units,4.262616
Value added in financial and insurance activities,France,2012,Percentage,Units,4.232013
Value added in financial and insurance activities,France,2013,Percentage,Units,4.418844
Value added in financial and insurance activities,France,2014,Percentage,Units,4.510256
Value added in financial and insurance activities,France,2015,Percentage,Units,4.450140
Value added in real estate activities,France,2011,Percentage,Units,12.631783
Value added in real estate activities,France,2012,Percentage,Units,12.755016
Value added in real estate activities,France,2013,Percentage,Units,12.757857
Value added in real estate activities,France,2014,Percentage,Units,12.760335
Value added in real estate activities,France,2015,Percentage,Units,12.732774
Real value added in agriculture; hunting and forestry; fishing,France,2011,Growth rate,Units,3.989881
Real value added in agriculture; hunting and forestry; fishing,France,2012,Growth rate,Units,-8.415704
Real value added in agriculture; hunting and forestry; fishing,France,2013,Growth rate,Units,-1.926569
Real value added in agriculture; hunting and forestry; fishing,France,2014,Growth rate,Units,14.703967
Real value added in agriculture; hunting and forestry; fishing,France,2015,Growth rate,Units,0.140475
Real value added in industry; including energy,France,2011,Growth rate,Units,2.834903
Real value added in industry; including energy,France,2012,Growth rate,Units,0.773093
Real value added in industry; including energy,France,2013,Growth rate,Units,0.745158
Real value added in industry; including energy,France,2014,Growth rate,Units,0.463112
Real value added in industry; including energy,France,2015,Growth rate,Units,0.414179
Real value added in distributive trade; repairs; transport; accommodation and food services activities,France,2011,Growth rate,Units,3.309373
Real value added in distributive trade; repairs; transport; accommodation and food services activities,France,2012,Growth rate,Units,0.336911
Real value added in distributive trade; repairs; transport; accommodation and food services activities,France,2013,Growth rate,Units,0.052466
Real value added in distributive trade; repairs; transport; accommodation and food services activities,France,2014,Growth rate,Units,0.940589
Real value added in distributive trade; repairs; transport; accommodation and food services activities,France,2015,Growth rate,Units,2.126365
Real value added in Information and communication,France,2011,Growth rate,Units,6.342280
Real value added in Information and communication,France,2012,Growth rate,Units,4.659502
Real value added in Information and communication,France,2013,Growth rate,Units,-0.531524
Real value added in Information and communication,France,2014,Growth rate,Units,4.196522
Real value added in Information and communication,France,2015,Growth rate,Units,3.790159
Real value added in financial and insurance activities,France,2011,Growth rate,Units,6.588896
Real value added in financial and insurance activities,France,2012,Growth rate,Units,2.322421
Real value added in financial and insurance activities,France,2013,Growth rate,Units,0.003495
Real value added in financial and insurance activities,France,2014,Growth rate,Units,1.274628
Real value added in financial and insurance activities,France,2015,Growth rate,Units,0.194425
Real value added in real estate activities,France,2011,Growth rate,Units,-0.235523
Real value added in real estate activities,France,2012,Growth rate,Units,1.826301
Real value added in real estate activities,France,2013,Growth rate,Units,1.961664
Real value added in real estate activities,France,2014,Growth rate,Units,1.118417
Real value added in real estate activities,France,2015,Growth rate,Units,0.327748
Number of employees in manufacturing in enterprises with 20-49 persons engaged,France,2012,Percentage,Units,11.862293
Number of employees in manufacturing in enterprises with 50-249 persons engaged,France,2012,Percentage,Units,22.954860
Number of employees in manufacturing in enterprises with 250 or more persons engaged,France,2012,Percentage,Units,44.555062
Number of enterprises in manufacturing with less than 10 persons engaged,France,2012,Percentage,Units,85.759465
Number of enterprises in manufacturing with 10-19 persons engaged,France,2012,Percentage,Units,6.105644
Number of enterprises in manufacturing with 250 or more persons engaged,France,2012,Percentage,Units,0.683454
Gross national income per capita,France,2011,US Dollar,Units,38443.506000
Gross national income per capita,France,2012,US Dollar,Units,38508.147000
Gross national income per capita,France,2013,US Dollar,Units,40413.883000
Gross national income per capita,France,2014,US Dollar,Units,41014.148000
Gross national income per capita,France,2015,US Dollar,Units,41743.527000
Real household disposable income,France,2011,Growth rate,Units,0.048203
Real household disposable income,France,2012,Growth rate,Units,-0.363553
Real household disposable income,France,2013,Growth rate,Units,-1.111867
Real household disposable income,France,2014,Growth rate,Units,1.189939
Real household disposable income,France,2015,Growth rate,Units,0.976815
Household net saving rates,France,2011,Percentage,Units,9.943305
Household net saving rates,France,2012,Percentage,Units,9.997227
Household net saving rates,France,2013,Percentage,Units,8.521568
Household net saving rates,France,2014,Percentage,Units,8.856198
Household net saving rates,France,2015,Percentage,Units,8.402898
Income inequality: Gini (at disposable income; post taxes and transfers),France,2012,0-1 scale,Units,0.305000
Income inequality: Gini (at disposable income; post taxes and transfers),France,2013,0-1 scale,Units,0.291000
Income inequality: Gini (at disposable income; post taxes and transfers),France,2014,0-1 scale,Units,0.293000
Income inequality: Gini (at disposable income; post taxes and transfers),France,2015,0-1 scale,Units,0.295000
Income inequality: Palma (S90/S40 disposable income decile share),France,2012,S90/S40 decile share,Units,1.160000
Income inequality: S80/S20 disposable income quintile share,France,2012,S80/S20 quintile share,Units,4.600000
Income inequality: S80/S20 disposable income quintile share,France,2013,S80/S20 quintile share,Units,4.300000
Income inequality: S80/S20 disposable income quintile share,France,2014,S80/S20 quintile share,Units,4.400000
Income inequality: S80/S20 disposable income quintile share,France,2015,S80/S20 quintile share,Units,4.400000
Income inequality: P90/P10 disposable income decile ratio,France,2012,Interdecile ratio P90/P10,Units,3.600000
Income inequality: P90/P10 disposable income decile ratio,France,2013,Interdecile ratio P90/P10,Units,3.500000
Income inequality: P90/P10 disposable income decile ratio,France,2014,Interdecile ratio P90/P10,Units,3.400000
Income inequality: P90/P10 disposable income decile ratio,France,2015,Interdecile ratio P90/P10,Units,3.500000
Income inequality: P90/P50 disposable income decile ratio ,France,2012,Interdecile ratio P90/P50,Units,1.900000
Income inequality: P90/P50 disposable income decile ratio ,France,2013,Interdecile ratio P90/P50,Units,1.900000
Income inequality: P90/P50 disposable income decile ratio ,France,2014,Interdecile ratio P90/P50,Units,1.800000
Income inequality: P90/P50 disposable income decile ratio ,France,2015,Interdecile ratio P90/P50,Units,1.900000
Financial asset of households: Currency and deposits,France,2011,Percentage,Units,29.100150
Financial asset of households: Currency and deposits,France,2012,Percentage,Units,29.181320
Financial asset of households: Currency and deposits,France,2013,Percentage,Units,28.951190
Financial asset of households: Currency and deposits,France,2014,Percentage,Units,28.536030
Financial asset of households: Currency and deposits,France,2015,Percentage,Units,27.854070
Financial asset of households: Debt securities,France,2011,Percentage,Units,2.013693
Financial asset of households: Debt securities,France,2012,Percentage,Units,2.148337
Financial asset of households: Debt securities,France,2013,Percentage,Units,1.967309
Financial asset of households: Debt securities,France,2014,Percentage,Units,1.730914
Financial asset of households: Debt securities,France,2015,Percentage,Units,1.403982
Financial asset of households: equity,France,2011,Percentage,Units,18.336320
Financial asset of households: equity,France,2012,Percentage,Units,19.869140
Financial asset of households: equity,France,2013,Percentage,Units,19.945860
Financial asset of households: equity,France,2014,Percentage,Units,19.983570
Financial asset of households: equity,France,2015,Percentage,Units,21.257290
Financial asset of households:  investment funds shares,France,2011,Percentage,Units,6.428801
Financial asset of households:  investment funds shares,France,2012,Percentage,Units,6.590527
Financial asset of households:  investment funds shares,France,2013,Percentage,Units,6.743047
Financial asset of households:  investment funds shares,France,2014,Percentage,Units,6.578434
Financial asset of households:  investment funds shares,France,2015,Percentage,Units,7.148288
Financial asset of households: Life insurance and annuities,France,2011,Percentage,Units,34.225990
Financial asset of households: Life insurance and annuities,France,2012,Percentage,Units,34.026370
Financial asset of households: Life insurance and annuities,France,2013,Percentage,Units,34.226490
Financial asset of households: Life insurance and annuities,France,2014,Percentage,Units,34.577900
Financial asset of households: Life insurance and annuities,France,2015,Percentage,Units,33.889160
Financial asset of households: Pension funds,France,2011,Percentage,Units,0.000000
Financial asset of households: Pension funds,France,2012,Percentage,Units,0.000000
Financial asset of households: Pension funds,France,2013,Percentage,Units,0.000000
Financial asset of households: Pension funds,France,2014,Percentage,Units,0.000000
Financial asset of households: Pension funds,France,2015,Percentage,Units,0.000000
Households debt,France,2011,Percentage,Units,113.458800
Households debt,France,2012,Percentage,Units,108.265000
Households debt,France,2013,Percentage,Units,110.335700
Households debt,France,2014,Percentage,Units,111.182500
Households debt,France,2015,Percentage,Units,115.398500
Non-financial assets of households: dwellings,France,2011,US Dollar,Units,58408.365000
Non-financial assets of households: dwellings,France,2012,US Dollar,Units,59467.835000
Non-financial assets of households: dwellings,France,2013,US Dollar,Units,63068.687000
Non-financial assets of households: dwellings,France,2014,US Dollar,Units,64464.402000
Non-financial assets of households: dwellings,France,2015,US Dollar,Units,65182.618000
Non-financial assets of households: lands,France,2011,US Dollar,Units,67456.045000
Non-financial assets of households: lands,France,2012,US Dollar,Units,64445.250000
Non-financial assets of households: lands,France,2013,US Dollar,Units,64643.374000
Non-financial assets of households: lands,France,2014,US Dollar,Units,61574.554000
Non-financial assets of households: lands,France,2015,US Dollar,Units,61764.212000
Non-financial assets of households: other,France,2011,US Dollar,Units,7352.290800
Non-financial assets of households: other,France,2012,US Dollar,Units,7191.483600
Non-financial assets of households: other,France,2013,US Dollar,Units,7304.553400
Non-financial assets of households: other,France,2014,US Dollar,Units,7221.734700
Non-financial assets of households: other,France,2015,US Dollar,Units,7016.914600
International imports in goods and services,France,2011,Percentage,Units,30.369239
International imports in goods and services,France,2012,Percentage,Units,30.499032
International imports in goods and services,France,2013,Percentage,Units,30.399317
International imports in goods and services,France,2014,Percentage,Units,30.812112
International imports in goods and services,France,2015,Percentage,Units,31.159072
International exports in goods and services,France,2011,Percentage,Units,28.421337
International exports in goods and services,France,2012,Percentage,Units,29.203027
International exports in goods and services,France,2013,Percentage,Units,29.364738
International exports in goods and services,France,2014,Percentage,Units,29.666684
International exports in goods and services,France,2015,Percentage,Units,30.592622
Imports of goods,France,2014,US Dollar,Billions,659.872080
Trade balance of goods,France,2014,US Dollar,Billions,-93.215911
Exports of goods,France,2014,US Dollar,Billions,566.656170
Trade balance of services,France,2011,US Dollar,Billions,38.620130
Trade balance of services,France,2012,US Dollar,Billions,40.256750
Trade balance of services,France,2013,US Dollar,Billions,39.980210
Trade balance of services,France,2014,US Dollar,Billions,33.777580
Trade balance of services,France,2015,US Dollar,Billions,22.294040
Imports of services,France,2011,US Dollar,Billions,205.111900
Imports of services,France,2012,US Dollar,Billions,203.932800
Imports of services,France,2013,US Dollar,Billions,228.046600
Imports of services,France,2014,US Dollar,Billions,252.645900
Imports of services,France,2015,US Dollar,Billions,233.372500
