"Provider_Number","HOSPITAL","ADDRESS","CITY","STATE",ZIP,"COUNTY","Readmit_2015","Readmit_2016","Readmit_2017","Readmit_2018","Readmit_2019","Readmit_2020"
"190300","ST CHARLES SURGICAL HOSPITAL LLC","1717 ST CHARLES AVE","NEW ORLEANS","LA",70130,"ORLEANS","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"190303","CYPRESS POINTE SURGICAL HOSPITAL","42570 SOUTH AIRPORT RD","HAMMOND","LA",70403,"TANGIPAHOA","0.39","No Penalty","No Penalty","No Penalty","0.24","0.49"
"190308","ST BERNARD PARISH HOSPITAL","8000 WEST JUDGE PEREZ DRIVE","CHALMETTE","LA",70043,"ST. BERNARD","No Penalty","0.02","0.31","0.34","0.16","0.05"
"200001","ST JOSEPH HOSPITAL","360 BROADWAY","BANGOR","ME",4401,"PENOBSCOT","0.30","No Penalty","No Penalty","0.71","0.51","0.59"
"200008","NORTHERN LIGHT HEALTH","144 STATE STREET","PORTLAND","ME",4101,"CUMBERLAND","0.12","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"200009","MAINE MEDICAL CENTER","22 BRAMHALL ST","PORTLAND","ME",4102,"CUMBERLAND","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"200018","NORTHERN LIGHT A R GOULD HOSPITAL","PO BOX 151","PRESQUE ISLE","ME",4769,"AROOSTOOK","0.35","0.56","0.23","0.56","0.21","1.21"
"200019","SOUTHERN MAINE HEALTH CARE","1 MEDICAL CENTER DRIVE","BIDDEFORD","ME",4005,"YORK","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"200020","YORK HOSPITAL","15 HOSPITAL DRIVE","YORK","ME",3909,"YORK","0.22","0.43","0.39","0.74","0.68","0.64"
"200021","MID COAST HOSPITAL","123 MEDICAL CENTER DRIVE","BRUNSWICK","ME",4011,"CUMBERLAND","0.32","0.15","0.41","0.62","0.08","No Penalty"
"200024","CENTRAL MAINE MEDICAL CENTER","300 MAIN STREET","LEWISTON","ME",4240,"ANDROSCOGGIN","0.33","0.31","0.09","0.25","0.13","No Penalty"
"200031","CARY MEDICAL CENTER","163 VAN BUREN RD, SUITE 1","CARIBOU","ME",4736,"AROOSTOOK","0.05","0.35","0.47","0.84","0.62","0.79"
"200033","EASTERN MAINE MEDICAL CENTER","PO BOX 404","BANGOR","ME",4401,"PENOBSCOT","0.06","0.27","0.60","0.54","0.26","0.16"
"200034","ST MARY'S REGIONAL MEDICAL CENTER","93 CAMPUS AVENUE - PO BOX 291","LEWISTON","ME",4243,"ANDROSCOGGIN","No Penalty","No Penalty","0.04","No Penalty","1.67","2.58"
"200037","FRANKLIN MEMORIAL HOSPITAL","111 FRANKLIN HEALTH COMMONS","FARMINGTON","ME",4938,"FRANKLIN","0.23","No Penalty","0.99","0.53","0.46","0.34"
"200039","MAINEGENERAL MEDICAL CENTER","35 MEDICAL CENTER PARKWAY","AUGUSTA","ME",4330,"KENNEBEC","No Penalty","No Penalty","No Penalty","0.01","No Penalty","0.49"
"200041","NORTHERN LIGHT INLAND HOSPITAL","200 KENNEDY MEMORIAL DRIVE","WATERVILLE","ME",4901,"KENNEBEC","0.02","0.02","No Penalty","No Penalty","No Penalty","No Penalty"
"200050","NORTHERN LIGHT MAINE COAST HOSPITAL","50 UNION STREET","ELLSWORTH","ME",4605,"HANCOCK","1.77","2.01","1.78","0.61","No Penalty","No Penalty"
"200052","NORTHERN MAINE MEDICAL CENTER","194 E MAIN STREET","FORT KENT","ME",4743,"AROOSTOOK","0.27","0.04","No Penalty","No Penalty","No Penalty","No Penalty"
"200063","PENOBSCOT BAY MEDICAL CENTER","6 GLEN COVE DRIVE","ROCKPORT","ME",4856,"KNOX","0.16","0.17","0.09","0.01","0.10","0.01"
"220001","HEALTH ALLIANCE - CLINTON HOSPITAL","60 HOSPITAL ROAD","LEOMINSTER","MA",1453,"WORCESTER","0.72","1.02","0.55","0.86","0.59","0.72"
"220002","MOUNT AUBURN HOSPITAL","330 MOUNT AUBURN STREET","CAMBRIDGE","MA",2138,"MIDDLESEX","0.46","0.15","0.01","0.13","0.36","0.44"
"220008","STURDY MEMORIAL HOSPITAL","211 PARK STREET","ATTLEBORO","MA",2703,"BRISTOL","0.45","0.48","0.74","1.80","2.50","3.00"
"220010","LAWRENCE GENERAL HOSPITAL","ONE GENERAL STREET","LAWRENCE","MA",1842,"ESSEX","0.64","0.62","1.03","1.59","1.38","1.25"
"220011","CAMBRIDGE HEALTH ALLIANCE","1493 CAMBRIDGE STREET","CAMBRIDGE","MA",2138,"MIDDLESEX","0.86","0.59","0.55","0.62","0.57","0.57"
"220012","CAPE COD HOSPITAL","88 LEWIS BAY ROAD","HYANNIS","MA",2601,"BARNSTABLE","0.05","0.02","0.11","0.22","0.69","0.70"
"220015","COOLEY DICKINSON HOSPITAL INC,THE","30 LOCUST STREET","NORTHAMPTON","MA",1060,"HAMPSHIRE","0.46","0.40","0.46","0.29","0.53","0.36"
"220016","BAYSTATE FRANKLIN MEDICAL CENTER","164 HIGH STREET","GREENFIELD","MA",1301,"FRANKLIN","0.09","0.18","0.24","0.25","0.44","0.66"
"220017","CARNEY HOSPITAL","2100 DORCHESTER AVENUE","BOSTON","MA",2124,"SUFFOLK","0.71","0.54","0.10","0.27","0.25","0.24"
"220019","HARRINGTON MEMORIAL HOSPITAL-1","100 SOUTH STREET","SOUTHBRIDGE","MA",1550,"WORCESTER","1.21","1.01","0.69","1.15","0.96","1.13"
"220020","SAINT ANNE'S HOSPITAL","795 MIDDLE STREET","FALL RIVER","MA",2721,"BRISTOL","1.08","0.68","1.31","1.72","2.28","2.45"
"220024","HOLYOKE MEDICAL CENTER","575 BEECH STREET","HOLYOKE","MA",1040,"HAMPDEN","0.77","0.61","0.60","1.01","0.43","0.32"
"220029","ANNA JAQUES HOSPITAL","25 HIGHLAND AVENUE","NEWBURYPORT","MA",1950,"ESSEX","1.94","2.61","2.71","1.64","1.94","2.57"
"220030","BAYSTATE WING HOSPITAL AND MEDICAL CENTERS","40 WRIGHT STREET","PALMER","MA",1069,"HAMPDEN","1.43","1.40","0.91","0.53","0.66","0.94"
"220031","BOSTON MEDICAL CENTER CORPORATION-","1 BOSTON MEDICAL CENTER PLACE","BOSTON","MA",2118,"SUFFOLK","0.56","0.32","0.44","0.64","0.48","0.51"
"220033","BEVERLY HOSPITAL CORPORATION","85 HERRICK STREET","BEVERLY","MA",1915,"ESSEX","1.17","0.85","1.31","0.53","1.36","0.89"
"220035","NORTH SHORE MEDICAL CENTER -","81 HIGHLAND AVENUE","SALEM","MA",1970,"ESSEX","0.03","No Penalty","No Penalty","No Penalty","0.11","0.74"
"220036","ST ELIZABETH'S MEDICAL CENTER","736 CAMBRIDGE STREET","BRIGHTON","MA",2135,"SUFFOLK","1.22","1.37","1.68","0.71","1.12","1.47"
"220046","BERKSHIRE MEDICAL CENTER INC - 1","725 NORTH STREET","PITTSFIELD","MA",1201,"BERKSHIRE","0.05","0.06","0.26","0.59","0.62","0.38"
"220049","MARLBOROUGH HOSPITAL","157 UNION STREET","MARLBOROUGH","MA",1752,"MIDDLESEX","0.29","0.03","0.18","0.35","0.50","1.38"
"220052","SIGNATURE HEALTHCARE BROCKTON HOSPITAL","680 CENTER STREET","BROCKTON","MA",2302,"PLYMOUTH","0.43","0.64","0.98","1.33","0.70","0.42"
"220060","BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH","275 SANDWICH STREET","PLYMOUTH","MA",2360,"PLYMOUTH","0.32","0.01","0.03","0.80","0.33","2.20"
"220063","LOWELL GENERAL HOSPITAL","295 VARNUM AVENUE","LOWELL","MA",1854,"MIDDLESEX","0.42","0.77","0.80","2.06","1.36","1.12"
"220065","BAYSTATE NOBLE HOSPITAL","115 WEST SILVER STREET","WESTFIELD","MA",1085,"HAMPDEN","0.37","0.12","0.28","0.49","0.79","0.45"
"220066","MERCY MEDICAL CTR","271 CAREW STREET","SPRINGFIELD","MA",1104,"HAMPDEN","0.31","0.25","0.92","1.22","1.69","1.39"
"220070","MELROSEWAKEFIELD HEALTHCARE","585 LEBANON STREET","MELROSE","MA",2176,"MIDDLESEX","1.28","1.29","1.64","1.83","2.70","3.00"
"220071","MASSACHUSETTS GENERAL HOSPITAL","55 FRUIT STREET","BOSTON","MA",2114,"SUFFOLK","0.24","0.29","0.52","0.36","0.32","0.24"
"220073","MORTON HOSPITAL","88 WASHINGTON STREET","TAUNTON","MA",2780,"BRISTOL","1.81","1.04","1.02","1.37","1.02","1.72"
"220074","SOUTHCOAST HOSPITAL GROUP, INC","363 HIGHLAND AVENUE","FALL RIVER","MA",2720,"BRISTOL","1.40","0.88","2.24","3.00","3.00","2.74"
"220075","MASSACHUSETTS EYE AND EAR INFIRMARY -","243 CHARLES STREET","BOSTON","MA",2114,"SUFFOLK","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"220077","BAYSTATE MEDICAL CENTER","759 CHESTNUT STREET","SPRINGFIELD","MA",1199,"HAMPDEN","No Penalty","No Penalty","No Penalty","0.02","0.14","0.17"
"220080","HOLY FAMILY HOSPITAL","70 EAST STREET","METHUEN","MA",1844,"ESSEX","1.29","0.76","1.42","1.36","1.48","1.38"
"220083","BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM","148 CHESTNUT STREET","NEEDHAM","MA",2494,"NORFOLK","0.71","1.12","1.65","0.81","0.79","1.01"
"220084","EMERSON HOSPITAL -","133 OLD ROAD TO 9 ACRE CORNER","W CONCORD","MA",1742,"MIDDLESEX","0.01","0.06","0.02","0.02","0.02","No Penalty"
"220086","BETH ISRAEL DEACONESS MEDICAL CENTER","330 BROOKLINE AVENUE","BOSTON","MA",2215,"SUFFOLK","0.64","0.57","1.19","1.61","1.54","1.76"
"220088","NEW ENGLAND BAPTIST HOSPITAL","125 PARKER HILL AVENUE","BOSTON","MA",2120,"SUFFOLK","No Penalty","0.01","No Penalty","0.01","No Penalty","No Penalty"
"220090","MILFORD REGIONAL MEDICAL CENTER","14 PROSPECT STREET","MILFORD","MA",1757,"WORCESTER","1.99","2.48","2.56","2.11","1.68","1.10"
"220095","HEYWOOD HOSPITAL -","242 GREEN STREET","GARDNER","MA",1440,"WORCESTER","0.40","0.80","0.75","0.22","0.10","0.13"
"220098","NASHOBA VALLEY MEDICAL CENTER","200 GROTON ROAD","AYER","MA",1432,"MIDDLESEX","0.46","0.75","1.78","1.06","0.82","0.36"
"220100","SOUTH SHORE HOSPITAL","55 FOGG ROAD","SOUTH WEYMOUTH","MA",2190,"NORFOLK","0.45","0.13","0.33","1.39","2.64","2.32"
"220101","NEWTON-WELLESLEY HOSPITAL","2014 WASHINGTON STREET","NEWTON","MA",2462,"MIDDLESEX","0.17","0.30","0.42","0.02","0.05","0.05"
"220105","WINCHESTER HOSPITAL","41 HIGHLAND AVENUE","WINCHESTER","MA",1890,"MIDDLESEX","1.49","1.55","0.59","0.33","0.34","0.48"
"220108","BETH ISRAEL DEACONESS HOSPITAL-MILTON INC","199 REEDSDALE ROAD","MILTON","MA",2186,"NORFOLK","1.91","1.95","2.31","1.46","2.35","3.00"
"220110","BRIGHAM AND WOMEN'S HOSPITAL","75 FRANCIS STREET","BOSTON","MA",2115,"SUFFOLK","0.27","0.04","0.11","0.22","0.34","0.51"
"220111","GOOD SAMARITAN MEDICAL CENTER","235 NORTH PEARL STREET","BROCKTON","MA",2301,"PLYMOUTH","1.18","0.95","0.76","2.11","1.71","2.68"
"220116","TUFTS MEDICAL CENTER","800 WASHINGTON STREET","BOSTON","MA",2111,"SUFFOLK","1.28","1.06","1.29","0.79","0.74","0.73"
"220119","BRIGHAM AND WOMEN'S FAULKNER HOSPITAL","1153 CENTRE STREET","BOSTON","MA",2130,"SUFFOLK","0.78","0.69","0.78","0.73","0.30","0.38"
"220126","NORWOOD HOSPITAL","800 WASHINGTON STREET","NORWOOD","MA",2062,"NORFOLK","1.08","0.98","0.89","0.99","1.55","2.06"
"220135","FALMOUTH HOSPITAL","67 & 100 TER HEUN DRIVE","FALMOUTH","MA",2540,"BARNSTABLE","0.10","0.28","1.02","2.34","2.23","0.44"
"220163","UMASS MEMORIAL MEDICAL CENTER INC","55 LAKE AVENUE NORTH","WORCESTER","MA",1655,"WORCESTER","0.57","0.35","0.31","0.41","0.28","0.49"
"220171","LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON","41 & 45 MALL ROAD","BURLINGTON","MA",1803,"MIDDLESEX","0.91","1.16","1.96","1.74","1.47","1.48"
"220175","METROWEST MEDICAL CENTER","115 LINCOLN STREET","FRAMINGHAM","MA",1701,"MIDDLESEX","0.14","0.02","No Penalty","0.01","0.09","0.19"
"220176","ST VINCENT HOSPITAL","123 SUMMER STREET","WORCESTER","MA",1608,"WORCESTER","0.49","0.34","0.37","0.54","0.11","0.59"
"220177","NANTUCKET COTTAGE HOSPITAL","57 PROSPECT STREET","NANTUCKET","MA",2554,"NANTUCKET","No Penalty","No Penalty","No Penalty","No Penalty","0.07","0.52"
"230002","ST MARY MERCY HOSPITAL","36475 FIVE MILE ROAD","LIVONIA","MI",48154,"WAYNE","1.28","1.02","1.00","0.89","1.27","1.33"
"230003","SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL","8333 FELCH ST","ZEELAND","MI",49464,"OTTAWA","1.00","0.76","0.19","No Penalty","0.11","No Penalty"
"230005","PROMEDICA BIXBY HOSPITAL","818 RIVERSIDE AVENUE","ADRIAN","MI",49221,"LENAWEE","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","0.02"
"230013","PONTIAC GENERAL HOSPITAL","461 W HURON ST","PONTIAC","MI",48341,"OAKLAND","0.11","0.10","0.25","No Penalty","No Penalty","No Penalty"
"230015","THREE RIVERS HEALTH","701 S HEALTH PARKWAY","THREE RIVERS","MI",49093,"ST. JOSEPH","0.27","0.43","0.41","0.41","0.55","0.46"
"230017","BRONSON METHODIST HOSPITAL","601 JOHN STREET","KALAMAZOO","MI",49007,"KALAMAZOO","No Penalty","0.11","0.26","0.05","No Penalty","No Penalty"
"230019","PROVIDENCE - PROVIDENCE PARK HOSPITAL","16001 W NINE MILE RD","SOUTHFIELD","MI",48075,"OAKLAND","1.50","0.83","0.48","No Penalty","0.01","0.01"
"230020","BEAUMONT HOSPITAL - DEARBORN","18101 OAKWOOD BLVD","DEARBORN","MI",48124,"WAYNE","0.65","0.89","1.41","2.15","1.57","1.38"
"230021","LAKELAND HOSPITAL, ST JOSEPH","1234 NAPIER AVENUE","ST JOSEPH","MI",49085,"BERRIEN","0.33","0.37","0.06","No Penalty","No Penalty","No Penalty"
"230022","PROMEDICA COLDWATER REGIONAL HOSPITAL","274 E CHICAGO ST","COLDWATER","MI",49036,"BRANCH","1.15","0.71","1.04","0.64","0.42","0.31"
"230024","SINAI-GRACE HOSPITAL","6071 W OUTER DRIVE","DETROIT","MI",48235,"WAYNE","1.28","0.92","1.24","1.16","0.89","1.11"
"230029","ST JOSEPH MERCY OAKLAND","44405 WOODWARD AVE","PONTIAC","MI",48341,"OAKLAND","0.09","0.12","0.40","0.17","0.50","0.22"
"230030","MIDMICHIGAN MEDICAL CENTER-GRATIOT","300 E WARWICK DR","ALMA","MI",48801,"GRATIOT","0.27","No Penalty","0.03","No Penalty","No Penalty","0.06"
"230031","LAKE HURON MEDICAL CENTER","2601 ELECTRIC AVENUE","PORT HURON","MI",48060,"ST. CLAIR","0.98","0.05","1.76","3.00","3.00","2.56"
"230035","SPECTRUM HEALTH UNITED HOSPITAL","615 S BOWER STREET","GREENVILLE","MI",48838,"MONTCALM","No Penalty","No Penalty","No Penalty","0.16","0.26","1.17"
"230036","MIDMICHIGAN MEDICAL CENTER - ALPENA","1501 W CHISHOLM ST","ALPENA","MI",49707,"ALPENA","No Penalty","No Penalty","0.28","0.80","0.78","0.74"
"230037","HILLSDALE HOSPITAL","168 S HOWELL STREET","HILLSDALE","MI",49242,"HILLSDALE","2.06","0.67","0.19","No Penalty","No Penalty","0.05"
"230038","SPECTRUM HEALTH - BUTTERWORTH CAMPUS","100 MICHIGAN ST NE","GRAND RAPIDS","MI",49503,"KENT","No Penalty","No Penalty","0.04","0.15","0.07","0.21"
"230040","SPECTRUM HEALTH PENNOCK","1009 W GREEN ST","HASTINGS","MI",49058,"BARRY","0.08","No Penalty","0.30","0.95","0.91","0.97"
"230041","MCLAREN BAY REGION","1900 COLUMBUS AVE","BAY CITY","MI",48708,"BAY","0.33","0.12","0.07","0.95","1.33","1.28"
"230046","UNIVERSITY OF MICHIGAN HEALTH SYSTEM","1500 E MEDICAL CENTER DRIVE, SPC 5474","ANN ARBOR","MI",48109,"WASHTENAW","0.22","0.18","0.37","0.34","0.03","0.09"
"230047","HENRY FORD MACOMB HOSPITAL","15855 NINETEEN MILE RD","CLINTON TOWNSHIP","MI",48038,"MACOMB","0.40","0.30","0.68","0.75","1.03","0.54"
"230053","HENRY FORD HOSPITAL","2799 W GRAND BLVD","DETROIT","MI",48202,"WAYNE","0.74","0.76","0.99","0.89","0.59","0.39"
"230054","UP HEALTH SYSTEM - MARQUETTE","420 W MAGNETIC","MARQUETTE","MI",49855,"MARQUETTE","No Penalty","No Penalty","No Penalty","No Penalty","0.23","0.07"
"230055","DICKINSON COUNTY MEMORIAL HOSPITAL","1721 S STEPHENSON AVE","IRON MOUNTAIN","MI",49801,"DICKINSON","0.11","0.40","0.86","1.23","0.23","No Penalty"
"230058","MUNSON HEALTHCARE GRAYLING HOSPITAL","1100 E MICHIGAN AVE","GRAYLING","MI",49738,"CRAWFORD","0.02","0.02","0.02","0.08","0.55","0.07"
"230059","SAINT MARY'S HEALTH CARE","200 JEFFERSON AVENUE SE","GRAND RAPIDS","MI",49503,"KENT","0.48","0.02","0.04","0.32","0.80","1.00"
"230066","MERCY HEALTH MUSKEGON","1700 CLINTON STREET","MUSKEGON","MI",49442,"MUSKEGON","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"230069","SAINT JOSEPH MERCY LIVINGSTON HOSPITAL","620 BYRON RD","HOWELL","MI",48843,"LIVINGSTON","0.34","0.59","0.38","0.88","0.46","0.55"
"230070","COVENANT MEDICAL CENTER","1447 N HARRISON","SAGINAW","MI",48602,"SAGINAW","0.92","1.06","1.23","1.15","0.86","1.18"
"230071","STRAITH HOSPITAL FOR SPECIAL SURGERY","23901 LAHSER","SOUTHFIELD","MI",48033,"OAKLAND","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"230072","HOLLAND COMMUNITY HOSPITAL","602 MICHIGAN AVE","HOLLAND","MI",49423,"OTTAWA","No Penalty","0.15","No Penalty","No Penalty","0.02","0.20"
"230075","BRONSON BATTLE CREEK HOSPITAL","300 NORTH AVENUE","BATTLE CREEK","MI",49017,"CALHOUN","0.88","No Penalty","0.18","0.54","0.13","0.50"
"230077","ST MARY'S OF MICHIGAN MEDICAL CENTER","800 S WASHINGTON AVENUE","SAGINAW","MI",48601,"SAGINAW","0.35","0.55","0.15","0.38","0.68","0.78"
"230078","LAKELAND HOSPITAL WATERVLIET","400 MEDICAL PARK DR","WATERVLIET","MI",49098,"BERRIEN","0.49","0.30","0.07","0.08","0.07","0.78"
"230080","MCLAREN CENTRAL MICHIGAN","1221 SOUTH DRIVE","MOUNT PLEASANT","MI",48858,"ISABELLA","0.56","0.14","0.08","0.21","0.14","0.38"
"230081","MUNSON HEALTHCARE CADILLAC HOSPITAL","400 HOBART ST","CADILLAC","MI",49601,"WEXFORD","1.46","2.70","1.38","0.99","No Penalty","No Penalty"
"230085","BRONSON SOUTH HAVEN HOSPITAL","955 S BAILEY AVE","SOUTH HAVEN","MI",49090,"VAN BUREN","No Penalty","0.02","No Penalty","0.18","0.35","0.15"
"230089","BEAUMONT HOSPITAL, GROSSE POINTE","468 CADIEUX RD","GROSSE POINTE","MI",48230,"WAYNE","1.17","0.80","1.18","1.05","1.28","1.20"
"230092","HENRY FORD ALLEGIANCE HEALTH","205 N EAST AVE","JACKSON","MI",49201,"JACKSON","0.17","0.12","0.15","0.64","0.77","0.50"
"230093","SPECTRUM HEALTH BIG RAPIDS HOSPITAL","605 OAK STREET","BIG RAPIDS","MI",49307,"MECOSTA","0.10","0.02","0.96","0.83","0.40","0.01"
"230095","MIDMICHIGAN MEDICAL CENTER - WEST BRANCH","2463 SOUTH M-30","WEST BRANCH","MI",48661,"OGEMAW","No Penalty","0.16","0.46","0.38","0.29","0.32"
"230096","STURGIS HOSPITAL","916 MYRTLE AVE","STURGIS","MI",49091,"ST. JOSEPH","0.38","No Penalty","0.60","0.32","1.01","0.54"
"230097","MUNSON MEDICAL CENTER","1105 SIXTH STREET","TRAVERSE CITY","MI",49684,"GRAND TRAVERSE","0.16","0.04","0.08","0.41","0.37","No Penalty"
"230099","PROMEDICA MONROE REGIONAL HOSPITAL","718 N MACOMB ST","MONROE","MI",48162,"MONROE","0.21","0.03","0.64","1.14","1.49","1.43"
"230100","TAWAS ST JOSEPH HOSPITAL","200 HEMLOCK","TAWAS CITY","MI",48764,"IOSCO","No Penalty","0.03","No Penalty","No Penalty","No Penalty","0.12"
"230104","HARPER UNIVERSITY HOSPITAL","3990 JOHN R STREET","DETROIT","MI",48201,"WAYNE","0.82","0.87","0.71","1.30","1.45","1.39"
"230105","MCLAREN NORTHERN MICHIGAN","416 CONNABLE AVE","PETOSKEY","MI",49770,"EMMET","No Penalty","No Penalty","0.25","0.31","0.49","No Penalty"
"230108","UP HEALTH SYSTEM PORTAGE","500 CAMPUS DRIVE","HANCOCK","MI",49930,"HOUGHTON","No Penalty","No Penalty","0.12","No Penalty","No Penalty","0.13"
"230110","SPECTRUM HEALTH LUDINGTON HOSPITAL","ONE N ATKINSON DRIVE","LUDINGTON","MI",49431,"MASON","No Penalty","No Penalty","No Penalty","0.18","0.28","0.55"
"230117","ASCENSION BORGESS HOSPITAL","1521 GULL ROAD","KALAMAZOO","MI",49048,"KALAMAZOO","0.13","0.34","0.21","0.13","No Penalty","No Penalty"
"230118","MCLAREN THUMB REGION","1100 SOUTH VAN DYKE ROAD","BAD AXE","MI",48413,"HURON","0.20","0.09","0.08","No Penalty","0.24","0.75"
"230121","MEMORIAL HEALTHCARE","826 WEST KING STREET","OWOSSO","MI",48867,"SHIAWASSEE","No Penalty","No Penalty","0.46","0.10","0.91","0.61"
"230130","BEAUMONT HOSPITAL, ROYAL OAK","3601 W THIRTEEN MILE RD","ROYAL OAK","MI",48073,"OAKLAND","1.68","1.15","1.58","1.23","1.48","1.40"
"230132","HURLEY MEDICAL CENTER","ONE HURLEY PLAZA","FLINT","MI",48503,"GENESEE","0.39","1.02","1.67","2.37","1.20","0.84"
"230133","MUNSON HEALTHCARE OTSEGO MEMORIAL HOSPITAL","825 N CENTER AVE","GAYLORD","MI",49735,"OTSEGO","No Penalty","No Penalty","No Penalty","No Penalty","1.15","0.37"
"230141","MCLAREN FLINT","401 S BALLENGER HIGHWAY","FLINT","MI",48532,"GENESEE","0.35","0.79","1.08","1.51","1.56","1.42"
"230142","BEAUMONT HOSPITAL - WAYNE","33155 ANNAPOLIS AVE","WAYNE","MI",48184,"WAYNE","2.22","2.03","2.21","1.60","1.43","0.89"
"230146","HENRY FORD WYANDOTTE HOSPITAL","2333 BIDDLE AVE","WYANDOTTE","MI",48192,"WAYNE","0.61","0.46","1.15","1.54","1.97","2.51"
"230151","BEAUMONT HOSPITAL - FARMINGTON HILLS","28050 GRAND RIVER AVENUE","FARMINGTON HILLS","MI",48336,"OAKLAND","1.00","1.09","1.34","1.09","1.12","0.83"
"230156","ST JOSEPH MERCY HOSPITAL","5301 E HURON RIVER DR","ANN ARBOR","MI",48106,"WASHTENAW","0.41","0.47","0.84","0.61","0.50","0.10"
"230165","ASCENSION ST JOHN HOSPITAL","22101 MOROSS RD","DETROIT","MI",48236,"WAYNE","1.26","0.82","0.78","0.38","0.54","0.44"
"230167","MCLAREN GREATER LANSING","401 W GREENLAWN AVE","LANSING","MI",48910,"INGHAM","0.11","0.28","0.81","0.36","0.09","No Penalty"
"230174","NORTH OTTAWA COMMUNITY HEALTH SYSTEM","1309 SHELDON RD","GRAND HAVEN","MI",49417,"OTTAWA","No Penalty","No Penalty","No Penalty","No Penalty","0.03","2.00"
"230176","BEAUMONT HOSPITAL - TRENTON","5450 FORT STREET","TRENTON","MI",48183,"WAYNE","0.30","0.14","1.07","0.95","0.40","0.35"
"230180","MIDMICHIGAN MEDICAL CENTER-CLARE","703 N MCEWAN ST","CLARE","MI",48617,"CLARE","0.22","0.41","1.39","0.85","0.26","0.54"
"230193","MCLAREN LAPEER REGION","1375 N MAIN ST","LAPEER","MI",48446,"LAPEER","0.57","0.96","0.37","0.27","0.29","0.19"
"230195","ASCENSION MACOMB OAKLAND HOSP-WARREN CAMPUS","11800 EAST TWELVE MILE ROAD","WARREN","MI",48093,"MACOMB","1.29","1.07","1.17","0.34","0.62","0.89"
"230197","GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK","ONE GENESYS PARKWAY","GRAND BLANC","MI",48439,"GENESEE","0.11","0.29","1.25","0.98","1.01","1.17"
"230207","MCLAREN OAKLAND","50 NORTH PERRY","PONTIAC","MI",48342,"OAKLAND","0.32","0.39","0.31","0.23","0.23","0.55"
"230208","SPARROW CARSON HOSPITAL","406 EAST ELM ST","CARSON CITY","MI",48811,"MONTCALM","1.70","2.06","1.81","0.64","1.23","0.09"
"230216","MCLAREN PORT HURON","1221 PINE GROVE AVE","PORT HURON","MI",48060,"ST. CLAIR","1.17","2.27","2.36","2.34","1.85","1.99"
"230217","OAKLAWN HOSPITAL","200 N MADISON","MARSHALL","MI",49068,"CALHOUN","0.44","1.26","1.45","0.91","0.07","No Penalty"
"230222","MIDMICHIGAN MEDICAL CENTER-MIDLAND","4000 WELLNESS DRIVE","MIDLAND","MI",48670,"MIDLAND","0.07","No Penalty","0.11","0.15","0.07","0.77"
"230227","MCLAREN MACOMB","1000 HARRINGTON BLVD","MOUNT CLEMENS","MI",48043,"MACOMB","0.60","1.11","1.43","1.53","0.94","1.07"
"230230","EDWARD W SPARROW HOSPITAL","1215 E MICHIGAN AVENUE","LANSING","MI",48912,"INGHAM","0.60","0.52","1.27","1.21","0.75","0.02"
"230236","METRO HEALTH HOSPITAL","5900 BYRON CENTER AVENUE, SW","WYOMING","MI",49519,"KENT","0.01","0.05","No Penalty","No Penalty","No Penalty","No Penalty"
"230239","CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL","500 OSBORN BLVD","SAULT SAINTE MARIE","MI",49783,"CHIPPEWA","0.18","0.39","0.37","0.18","0.04","0.07"
"230241","ASCENSION RIVER DISTRICT HOSPITAL","4100 RIVER RD","EAST CHINA","MI",48054,"ST. CLAIR","0.11","0.02","0.10","0.32","0.57","No Penalty"
"230244","GARDEN CITY HOSPITAL","6245 INKSTER RD","GARDEN CITY","MI",48135,"WAYNE","1.82","1.57","1.71","1.42","1.87","1.81"
"230254","ASCENSION CRITTENTON HOSPITAL","1101 W UNIVERSITY DRIVE","ROCHESTER","MI",48307,"OAKLAND","1.51","1.47","1.85","0.73","0.63","0.29"
"230259","ST JOSEPH MERCY CHELSEA","775 S MAIN ST","CHELSEA","MI",48118,"WASHTENAW","0.07","0.01","0.02","No Penalty","0.81","0.01"
"230264","SOUTHEAST MICHIGAN SURGICAL HOSPITAL","21230 DEQUINDRE ROAD","WARREN","MI",48091,"MACOMB","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"230269","BEAUMONT HOSPITAL, TROY","44201 DEQUINDRE ROAD","TROY","MI",48085,"OAKLAND","1.36","1.28","1.47","0.86","0.59","0.73"
