SUB,Subject,LOCATION,Country,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
WATER_T1B,Total abstractions,BEL,Belgium,2013,2013,M3,Cubic metres,6,Millions,,,4829.04,,
WASTE_T1A,Generation intensities of municipal waste,BEL,Belgium,2011,2011,KG,Kilograms,0,Units,,,454.278,,
WASTE_T1A,Generation intensities of municipal waste,BEL,Belgium,2012,2012,KG,Kilograms,0,Units,,,446.066,,
WASTE_T1A,Generation intensities of municipal waste,BEL,Belgium,2013,2013,KG,Kilograms,0,Units,,,436.443,,
WASTE_T1A,Generation intensities of municipal waste,BEL,Belgium,2014,2014,KG,Kilograms,0,Units,,,424.452,,
WASTE_T1A,Generation intensities of municipal waste,BEL,Belgium,2015,2015,KG,Kilograms,0,Units,,,411.324,,
PISA_T1G,Mean scores on the mathematics scale in PISA 2012: women,BEL,Belgium,2012,2012,SE,Standard-error,0,Units,,,508.93461,,
SOCEXCLUS_T1A,YouthsÂ whoÂ areÂ notÂ inÂ educationÂ norÂ inÂ employment: aged between 15 and 19,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,5.3908639,,
SOCEXCLUS_T1B,YouthsÂ whoÂ areÂ notÂ inÂ educationÂ norÂ inÂ employment: aged between 20 and 24,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,18.854977,,
EXEDULV_T1A,Expenditure per student in primary education,BEL,Belgium,2012,2012,USD,US Dollar,0,Units,2010,2010,9580.9437,,
EXEDULV_T1B,Expenditure per student in lower secondary education,BEL,Belgium,2012,2012,USD,US Dollar,0,Units,2010,2010,11670.422,,
EXEDULV_T1C,Expenditure per student in upper secondary education,BEL,Belgium,2012,2012,USD,US Dollar,0,Units,2010,2010,12210.128,,
EXEDULV_T1D,Expenditure per student in all secondary education,BEL,Belgium,2012,2012,USD,US Dollar,0,Units,2010,2010,12025.273,,
EXEDULV_T1E,Change in expenditure in primary; secondary and post-secondary non-tertiary education as a percentage of total expenditures,BEL,Belgium,2012,2012,IDX,Index,0,Units,2005_100,2005=100,114.7108,,
EXEDULV_T1F,Change in the number of students in primariy; secondary and post-secondary non-tertiary education as a percentage of total expenditures,BEL,Belgium,2012,2012,IDX,Index,0,Units,2005_100,2005=100,96.459983,,
EXEDULV_T1G,Change in expenditure per student in primary; secondary and post-secondary non-tertiary education,BEL,Belgium,2012,2012,IDX,Index,0,Units,2005_100,2005=100,118.92061,,
EXEDULV_T1I,Private expenditure per student in primary; secondary and post-secondary non-tertiary education as a percentage of total expenditures,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,3.7231688,,
EDUTEREXPND_T1G,Change in expenditure per student in tertiary education,BEL,Belgium,2012,2012,IDX,Index,0,Units,2005_100,2005=100,103.52925,,
GOVDEFCT_T1,General government net lending,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,-4.1937314,,
GOVDEFCT_T1,General government net lending,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,-4.2346828,,
GOVDEFCT_T1,General government net lending,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,-3.1302967,,
GOVDEFCT_T1,General government net lending,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,-3.0985792,,
GOVDEFCT_T1,General government net lending,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,-2.3885516,,
GOVDEFCT_T2,General government revenues,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,50.323986,,
GOVDEFCT_T2,General government revenues,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,51.630851,,
GOVDEFCT_T2,General government revenues,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,52.697228,,
GOVDEFCT_T2,General government revenues,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,52.175354,,
GOVDEFCT_T2,General government revenues,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,51.342256,,
GOVDEFCT_T3,General government expenditures,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,54.517691,,
GOVDEFCT_T3,General government expenditures,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,55.865586,,
GOVDEFCT_T3,General government expenditures,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,55.827525,,
GOVDEFCT_T3,General government expenditures,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,55.273933,,
GOVDEFCT_T3,General government expenditures,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,53.736889,,
GOVDEBT_T1,Adjusted general government debt-to-GDP (excluding unfunded pension liabilities),BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,110.4408,,
GOVDEBT_T1,Adjusted general government debt-to-GDP (excluding unfunded pension liabilities),BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,120.303,,
GOVDEBT_T1,Adjusted general government debt-to-GDP (excluding unfunded pension liabilities),BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,118.317,,
GOVDEBT_T1,Adjusted general government debt-to-GDP (excluding unfunded pension liabilities),BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,130.95,,
GOVDEBT_T1,Adjusted general government debt-to-GDP (excluding unfunded pension liabilities),BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,127.6652,,
GENGOVDISTRI_T1A,Structure of central government expenditures; general public services,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,66.25,,
GENGOVDISTRI_T1A,Structure of central government expenditures; general public services,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,65.6,,
GENGOVDISTRI_T1A,Structure of central government expenditures; general public services,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,66.94,,
GENGOVDISTRI_T1A,Structure of central government expenditures; general public services,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,67.54,,
GENGOVDISTRI_T1A,Structure of central government expenditures; general public services,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,66.7,,
GENGOVDISTRI_T1B,Structure of central government expenditures; defence,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,3.09,,
GENGOVDISTRI_T1B,Structure of central government expenditures; defence,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,2.95,,
GENGOVDISTRI_T1B,Structure of central government expenditures; defence,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,3.02,,
GENGOVDISTRI_T1B,Structure of central government expenditures; defence,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,2.88,,
GENGOVDISTRI_T1B,Structure of central government expenditures; defence,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,3.05,,
GENGOVDISTRI_T1C,Structure of central government expenditures; public order and safety,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,3.63,,
GENGOVDISTRI_T1C,Structure of central government expenditures; public order and safety,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,3.62,,
GENGOVDISTRI_T1C,Structure of central government expenditures; public order and safety,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,3.74,,
GENGOVDISTRI_T1C,Structure of central government expenditures; public order and safety,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,3.78,,
GENGOVDISTRI_T1C,Structure of central government expenditures; public order and safety,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,3.96,,
GENGOVDISTRI_T1D,Structure of central government expenditures; economic affairs,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,8.39,,
GENGOVDISTRI_T1D,Structure of central government expenditures; economic affairs,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,9.66,,
GENGOVDISTRI_T1D,Structure of central government expenditures; economic affairs,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,7.84,,
GENGOVDISTRI_T1D,Structure of central government expenditures; economic affairs,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,7.59,,
GENGOVDISTRI_T1D,Structure of central government expenditures; economic affairs,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,7.28,,
GENGOVDISTRI_T1E,Structure of central government expenditures; environmental protection,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,1.36,,
GENGOVDISTRI_T1E,Structure of central government expenditures; environmental protection,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,1.3,,
GENGOVDISTRI_T1E,Structure of central government expenditures; environmental protection,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,1.06,,
GENGOVDISTRI_T1E,Structure of central government expenditures; environmental protection,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,0.66,,
GENGOVDISTRI_T1E,Structure of central government expenditures; environmental protection,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,0.41,,
GENGOVDISTRI_T1F,Structure of central government expenditures; housing and community amenities,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,0,,
GENGOVDISTRI_T1F,Structure of central government expenditures; housing and community amenities,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,0,,
GENGOVDISTRI_T1F,Structure of central government expenditures; housing and community amenities,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,0,,
GENGOVDISTRI_T1F,Structure of central government expenditures; housing and community amenities,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,0,,
GENGOVDISTRI_T1F,Structure of central government expenditures; housing and community amenities,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,0,,
GENGOVDISTRI_T1G,Structure of central government expenditures; health,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,2.72,,
GENGOVDISTRI_T1G,Structure of central government expenditures; health,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,2.68,,
GENGOVDISTRI_T1G,Structure of central government expenditures; health,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,2.76,,
GENGOVDISTRI_T1G,Structure of central government expenditures; health,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,2.77,,
GENGOVDISTRI_T1G,Structure of central government expenditures; health,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,3.03,,
GENGOVDISTRI_T1H,Structure of central government expenditures; recreation; culture and religion,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,0.24,,
GENGOVDISTRI_T1H,Structure of central government expenditures; recreation; culture and religion,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,0.24,,
GENGOVDISTRI_T1H,Structure of central government expenditures; recreation; culture and religion,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,0.23,,
GENGOVDISTRI_T1H,Structure of central government expenditures; recreation; culture and religion,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,0.25,,
GENGOVDISTRI_T1H,Structure of central government expenditures; recreation; culture and religion,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,0.24,,
GENGOVDISTRI_T1I,Structure of central government expenditures; education,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,4.43,,
GENGOVDISTRI_T1I,Structure of central government expenditures; education,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,4.46,,
GENGOVDISTRI_T1I,Structure of central government expenditures; education,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,4.75,,
GENGOVDISTRI_T1I,Structure of central government expenditures; education,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,4.85,,
GENGOVDISTRI_T1I,Structure of central government expenditures; education,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,5.45,,
GENGOVDISTRI_T1J,Structure of central government expenditures; social protection,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,9.88,,
GENGOVDISTRI_T1J,Structure of central government expenditures; social protection,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,9.49,,
GENGOVDISTRI_T1J,Structure of central government expenditures; social protection,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,9.66,,
GENGOVDISTRI_T1J,Structure of central government expenditures; social protection,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,9.67,,
GENGOVDISTRI_T1J,Structure of central government expenditures; social protection,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,9.87,,
GENGOVEXPEND_T1A,General government revenues per capita,BEL,Belgium,2011,2011,USD,US Dollar,0,Units,,,20859.48,,
GENGOVEXPEND_T1A,General government revenues per capita,BEL,Belgium,2012,2012,USD,US Dollar,0,Units,,,21987.09,,
GENGOVEXPEND_T1A,General government revenues per capita,BEL,Belgium,2013,2013,USD,US Dollar,0,Units,,,23052.9,,
GENGOVEXPEND_T1A,General government revenues per capita,BEL,Belgium,2014,2014,USD,US Dollar,0,Units,,,23333.05,,
GENGOVEXPEND_T1A,General government revenues per capita,BEL,Belgium,2015,2015,USD,US Dollar,0,Units,,,23412.75,,
GENGOVEXPEND_T1B,General government expenditures per capita,BEL,Belgium,2011,2011,USD,US Dollar,0,Units,,,22597.79,,
GENGOVEXPEND_T1B,General government expenditures per capita,BEL,Belgium,2012,2012,USD,US Dollar,0,Units,,,23790.44,,
GENGOVEXPEND_T1B,General government expenditures per capita,BEL,Belgium,2013,2013,USD,US Dollar,0,Units,,,24422.28,,
GENGOVEXPEND_T1B,General government expenditures per capita,BEL,Belgium,2014,2014,USD,US Dollar,0,Units,,,24718.76,,
GENGOVEXPEND_T1B,General government expenditures per capita,BEL,Belgium,2015,2015,USD,US Dollar,0,Units,,,24531.63,,
GENGOVPROD_T1A,Production costs for general government; compensation of employees,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,12.34,,
GENGOVPROD_T1A,Production costs for general government; compensation of employees,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,12.56,,
GENGOVPROD_T1A,Production costs for general government; compensation of employees,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,12.79,,
GENGOVPROD_T1A,Production costs for general government; compensation of employees,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,12.72,,
GENGOVPROD_T1A,Production costs for general government; compensation of employees,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,12.44,,
GENGOVPROD_T1B,Production costs for general government; costs of goods and services used and financed by general government,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,11.94,,
GENGOVPROD_T1B,Production costs for general government; costs of goods and services used and financed by general government,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,12.18,,
GENGOVPROD_T1B,Production costs for general government; costs of goods and services used and financed by general government,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,12.3,,
GENGOVPROD_T1B,Production costs for general government; costs of goods and services used and financed by general government,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,12.28,,
GENGOVPROD_T1B,Production costs for general government; costs of goods and services used and financed by general government,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,12.06,,
GENGOVPROD_T1C,Production costs for general government; Other production costs,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,2.11,,
GENGOVPROD_T1C,Production costs for general government; Other production costs,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,2.13,,
GENGOVPROD_T1C,Production costs for general government; Other production costs,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,2.13,,
GENGOVPROD_T1C,Production costs for general government; Other production costs,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,2.11,,
GENGOVPROD_T1C,Production costs for general government; Other production costs,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,2.09,,
GENGOVPROD_T1D,Production costs for general government; total,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,26.38,,
GENGOVPROD_T1D,Production costs for general government; total,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,26.87,,
GENGOVPROD_T1D,Production costs for general government; total,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,27.23,,
GENGOVPROD_T1D,Production costs for general government; total,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,27.1,,
GENGOVPROD_T1D,Production costs for general government; total,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,26.59,,
SOCEXPND_T1A,Public social expenditure,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,28.732,,
SOCEXPND_T1A,Public social expenditure,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,28.685,,
SOCEXPND_T1A,Public social expenditure,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,29.213,,
SOCEXPND_T1A,Public social expenditure,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,29.448,,
SOCEXPND_T1A,Public social expenditure,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,29.188,,
SOCEXPND_T1B,Private social expenditure,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,2.024,,
SOCEXPND_T1B,Private social expenditure,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,2.024,,
SOCEXPND_T1B,Private social expenditure,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,1.874,,
SOCEXPND_T1B,Private social expenditure,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,1.819,,
SOCEXPND_T1B,Private social expenditure,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,1.929,,
SOCEXPND_T1C,Net social expenditure,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,26.571,,
SOCEXPND_T1C,Net social expenditure,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,26.945,,
SOCEXPND_T1C,Net social expenditure,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,26.692,,
PENSION_T1A,Public pension expenditure,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,10.174158,,
PENSION_T1B,Private pension expenditure,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,3.6057796,,
PENSION_T1B,Private pension expenditure,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,1.1791345,,
PENSION_T1B,Private pension expenditure,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,1.1506565,,
ODA_T1A,Net official development assistance; as a percentage of gross national income,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,0.54,,
ODA_T1A,Net official development assistance; as a percentage of gross national income,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,0.48,,
ODA_T1A,Net official development assistance; as a percentage of gross national income,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,0.45,,
ODA_T1A,Net official development assistance; as a percentage of gross national income,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,0.46,,
TOTALTAX_T1,Total tax revenue,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,43.141,,
TOTALTAX_T1,Total tax revenue,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,44.172,,
TOTALTAX_T1,Total tax revenue,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,45.106,,
TOTALTAX_T1,Total tax revenue,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,45.073,,
TOTALTAX_T1,Total tax revenue,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,44.813,,
TAXAPW_T1,Taxes on the average worker,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,56.086594,,
TAXAPW_T1,Taxes on the average worker,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,55.993728,,
TAXAPW_T1,Taxes on the average worker,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,55.65689,,
TAXAPW_T1,Taxes on the average worker,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,55.592807,,
TAXAPW_T1,Taxes on the average worker,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,55.277696,,
PPHLTHXP_T1C,Total expenditure on health,BEL,Belgium,2011,2011,PC,Percentage,0,Units,,,10.004,,
PPHLTHXP_T1C,Total expenditure on health,BEL,Belgium,2012,2012,PC,Percentage,0,Units,,,10.107,,
PPHLTHXP_T1C,Total expenditure on health,BEL,Belgium,2013,2013,PC,Percentage,0,Units,,,10.271,,
PPHLTHXP_T1C,Total expenditure on health,BEL,Belgium,2014,2014,PC,Percentage,0,Units,,,10.341,,
PPHLTHXP_T1C,Total expenditure on health,BEL,Belgium,2015,2015,PC,Percentage,0,Units,,,10.106,,
PRODINCOM_G1,GDP per hour worked,CAN,Canada,2011,2011,USD,US Dollar,0,Units,,,47.907492,,
PRODINCOM_G1,GDP per hour worked,CAN,Canada,2012,2012,USD,US Dollar,0,Units,,,48.25797,,
PRODINCOM_G1,GDP per hour worked,CAN,Canada,2013,2013,USD,US Dollar,0,Units,,,50.44876,,
PRODINCOM_G1,GDP per hour worked,CAN,Canada,2014,2014,USD,US Dollar,0,Units,,,52.458498,,
PRODINCOM_G1,GDP per hour worked,CAN,Canada,2015,2015,USD,US Dollar,0,Units,,,51.000493,,
AIRQTY_T1,CO? emissions from fuel combustion,CAN,Canada,2011,2011,TONNE,Tonnes,6,Millions,,,537.3,,
AIRQTY_T1,CO? emissions from fuel combustion,CAN,Canada,2012,2012,TONNE,Tonnes,6,Millions,,,534.3,,
AIRQTY_T1,CO? emissions from fuel combustion,CAN,Canada,2013,2013,TONNE,Tonnes,6,Millions,,,542.4,,
AIRQTY_T1,CO? emissions from fuel combustion,CAN,Canada,2014,2014,TONNE,Tonnes,6,Millions,,,544,,
AIRQTY_T1,CO? emissions from fuel combustion,CAN,Canada,2015,2015,TONNE,Tonnes,6,Millions,,,541.8,,
PISA_T1I,Mean scores on the reading scale in PISA 2012: men,CAN,Canada,2012,2012,AVSCORE,Average score,0,Units,,,505.5122,,
SMOKE_G1, Adult population smoking daily,CAN,Canada,2011,2011,PC,Percentage,0,Units,,,15.7,,
SMOKE_G1, Adult population smoking daily,CAN,Canada,2012,2012,PC,Percentage,0,Units,,,16.1,,
SMOKE_G1, Adult population smoking daily,CAN,Canada,2013,2013,PC,Percentage,0,Units,,,14.9,,
SMOKE_G1, Adult population smoking daily,CAN,Canada,2014,2014,PC,Percentage,0,Units,,,14,,
SMOKE_G1, Adult population smoking daily,CAN,Canada,2015,2015,PC,Percentage,0,Units,,,13.1,B,Break
NURSE_G1, Practising nurses,CAN,Canada,2011,2011,1000HAB,Per 1 000 inhabitants,0,Units,,,9.29,,
NURSE_G1, Practising nurses,CAN,Canada,2012,2012,1000HAB,Per 1 000 inhabitants,0,Units,,,9.39,,
NURSE_G1, Practising nurses,CAN,Canada,2013,2013,1000HAB,Per 1 000 inhabitants,0,Units,,,9.52,,
NURSE_G1, Practising nurses,CAN,Canada,2014,2014,1000HAB,Per 1 000 inhabitants,0,Units,,,9.78,,
NURSE_G1, Practising nurses,CAN,Canada,2015,2015,1000HAB,Per 1 000 inhabitants,0,Units,,,9.87,,
SOXNOX_T1A,Sulphur Oxides Emmissions,CAN,Canada,2011,2011,TONNE,Tonnes,3,Thousands,,,1283.089,,
SOXNOX_T1A,Sulphur Oxides Emmissions,CAN,Canada,2012,2012,TONNE,Tonnes,3,Thousands,,,1277.881,,
SOXNOX_T1A,Sulphur Oxides Emmissions,CAN,Canada,2013,2013,TONNE,Tonnes,3,Thousands,,,1269.091,,
SOXNOX_T1A,Sulphur Oxides Emmissions,CAN,Canada,2014,2014,TONNE,Tonnes,3,Thousands,,,1227.519,,
SOXNOX_T1A,Sulphur Oxides Emmissions,CAN,Canada,2015,2015,TONNE,Tonnes,3,Thousands,,,1079.216,,
EDUTEREXPND_T1A,Annual expenditure per student in short cycle tertiary education,CAN,Canada,2012,2012,USD,US Dollar,0,Units,2010,2010,15347.528,,
AGEDPOPGEO_G1,Elderly population,CAN,Canada,2014,2014,PC,Percentage,0,Units,,,15.7,,
TIVA_T1,Foreign value added as a share of gross exports,CAN,Canada,2011,2011,PC,Percentage,0,Units,,,23.47,,
TERTIARY_T1A,Population aged 25-34 below upper secondary,CAN,Canada,2014,2014,PC,Percentage,0,Units,,,7.3593979,,
TERTIARY_T1B,Population aged 25-34 below upper secondary,CAN,Canada,2014,2014,PC,Percentage,0,Units,,,34.915325,,
AGEDPOPGEO_G2A,Regional elderly population: Maximum,CAN,Canada,2014,2014,AVGRW,Average growth rate,0,Units,,,9,,
AGEDPOPGEO_G2B,Regional elderly population: Country average,CAN,Canada,2014,2014,AVGRW,Average growth rate,0,Units,,,1.6,,
AGEDPOPGEO_G2C,Regional elderly population: Minimum,CAN,Canada,2014,2014,AVGRW,Average growth rate,0,Units,,,-1.2,,
ODA_T1B,Net official development assistance; as a percentage of gross national income,CAN,Canada,2011,2011,USD,US Dollar,6,Millions,,,5458.56,,
ODA_T1B,Net official development assistance; as a percentage of gross national income,CAN,Canada,2012,2012,USD,US Dollar,6,Millions,,,5650.26,,
ODA_T1B,Net official development assistance; as a percentage of gross national income,CAN,Canada,2013,2013,USD,US Dollar,6,Millions,,,4947.24,,
ODA_T1B,Net official development assistance; as a percentage of gross national income,CAN,Canada,2014,2014,USD,US Dollar,6,Millions,,,4240.04,,
EDUTEREXPND_T1B,Annual expenditure per student in Bachelorâ€™s; masterâ€™s; doctoral or equivalent level,CAN,Canada,2012,2012,USD,US Dollar,0,Units,2010,2010,25525.225,,
SOXNOX_T1B,Nitrogene Oxides Emmissions,CAN,Canada,2011,2011,TONNE,Tonnes,3,Thousands,,,2053.776,,
SOXNOX_T1B,Nitrogene Oxides Emmissions,CAN,Canada,2012,2012,TONNE,Tonnes,3,Thousands,,,1961.544,,
SOXNOX_T1B,Nitrogene Oxides Emmissions,CAN,Canada,2013,2013,TONNE,Tonnes,3,Thousands,,,1929.036,,
SOXNOX_T1B,Nitrogene Oxides Emmissions,CAN,Canada,2014,2014,TONNE,Tonnes,3,Thousands,,,1904.172,,
SOXNOX_T1B,Nitrogene Oxides Emmissions,CAN,Canada,2015,2015,TONNE,Tonnes,3,Thousands,,,1829.61,,
DOCTOR_G2A, General practitioners as a percentage of total physicians,CAN,Canada,2014,2014,PC,Percentage,0,Units,,,47.19,,
DOCTOR_G2B, Specialists as a percentage of total physicians,CAN,Canada,2014,2014,PC,Percentage,0,Units,,,52.81,,
PISA_T1J,Standard error on the reading scale in PISA 2012: men,CAN,Canada,2012,2012,SE,Standard-error,0,Units,,,2.286998,,
TEACHERS_T1B,Teachers'starting salary,CAN,Canada,2013,2013,USD,US Dollar,0,Units,,,39608.456,,
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,CAN,Canada,2011,2011,PC_PNT,Percentage points,0,Units,,,-16.340847,,
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,CAN,Canada,2012,2012,PC_PNT,Percentage points,0,Units,,,-18.001744,,
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,CAN,Canada,2013,2013,PC_PNT,Percentage points,0,Units,,,-16.608577,,
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,CAN,Canada,2014,2014,PC_PNT,Percentage points,0,Units,,,-16.942913,,
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,CAN,Canada,2015,2015,PC_PNT,Percentage points,0,Units,,,-21.500708,,
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,CAN,Canada,2011,2011,PC_PNT,Percentage points,0,Units,,,10.709618,,
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,CAN,Canada,2012,2012,PC_PNT,Percentage points,0,Units,,,10.170604,,
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,CAN,Canada,2013,2013,PC_PNT,Percentage points,0,Units,,,9.521665,,
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,CAN,Canada,2014,2014,PC_PNT,Percentage points,0,Units,,,7.462273,,
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,CAN,Canada,2015,2015,PC_PNT,Percentage points,0,Units,,,6.354452,,
PRODINCOM_G2C,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,CAN,Canada,2011,2011,PC_PNT,Percentage points,0,Units,,,-24.433708,,
